Report Number,Title of Report,Classification,Date,Formula,Year,Month,Season,latitude,longitude,State,Country,Region
26504,Report 26504: Early morning sighting by a truck driver near Richland Chambers Lake,Class A,2009-08-25T12:00:00Z,2009,2009,August,Summer,31.93425,-96.12524,TX,United States,Southwest
4109,"Report 4109: Night time harassment of Army patrol on the west edge of Ft. Stewart, 5 miles NE of Glennville",Class B,1995-06-15T12:00:00Z,1995,1995,June,Summer,31.9621,-81.88995,GA,United States,Southeast
7356,Report 7356: Two servicemen from Hunter Army Airfield describe tent stalking incident on uninhabited Little Tybee Island,Class B,1976-01-02T12:00:00Z,1976,1976,January,Winter,31.98125,-80.89485,GA,United States,Southeast
28526,Report 28526: Encounter by a squad on maneuvers while training at Fort Stewart,Class A,2004-07-15T12:00:00Z,2004,2004,July,Summer,31.9853,-81.61756,GA,United States,Southeast
17035,Report 17035: Wood knocks heard by hunter outside Camden,Class B,2007-08-06T12:00:00Z,2007,2007,August,Summer,31.99,-87.29,AL,United States,Southeast
440,Report 440: A daylight sighting report by an ex soldier,Class A,2000-10-10T12:00:00Z,2000,2000,October,Fall,31.99003,-110.1835,AZ,United States,Southwest
10157,"Report 10157: On Sabine River, young fisherman has late night encounter.",Class A,2005-01-18T12:00:00Z,2005,2005,January,Winter,32.01083,-94.14306,TX,United States,Southwest
23745,Report 23745: Man recounts boyhood sighting at home near Jigger,Class A,1980-06-15T12:00:00Z,1980,1980,June,Summer,32.0131,-91.14448,LA,United States,Southeast
9867,Report 9867: Deer hunters have morning encounter on hunting lease,Class A,2004-11-26T12:00:00Z,2004,2004,November,Fall,32.01667,-94.68333,TX,United States,Southwest
13350,Report 13350: Hunter observes upright hairy creature in the Kisatchie National Forest,Class A,2005-12-22T12:00:00Z,2005,2005,December,Winter,32.0199,-92.914,LA,United States,Southeast
2278,Report 2278: Hunting party shadowed by footsteps after loud vocalization heard from treeline,Class B,1986-06-15T12:00:00Z,1986,1986,June,Summer,32.0321,-84.43484,GA,United States,Southeast
13918,Report 13918: Night time sighting by motorists on Highway 512 near Elwood (driver's observation),Class A,1987-10-10T12:00:00Z,1987,1987,October,Fall,32.036,-88.77015,MS,United States,Southeast
14144,Report 14144: Night time sighting by motorists on Highway 512 near Elwood (passenger's observation),Class A,1987-10-10T12:00:00Z,1987,1987,October,Fall,32.036,-88.77015,MS,United States,Southeast
17089,Report 17089: Night sighting through thermal viewer by soldier on Fort Stewart,Class A,1998-11-12T12:00:00Z,1998,1998,November,Fall,32.0391,-81.436,GA,United States,Southeast
7649,"Report 7649: Truck driver has early morning encounter near Gary, Texas",Class A,2003-12-28T12:00:00Z,2003,2003,December,Winter,32.04361,-94.37444,TX,United States,Southwest
11260,Report 11260: Early morning road cross encounter south of Stephenville.,Class A,2005-03-19T12:00:00Z,2005,2005,March,Spring,32.04417,-98.09234,TX,United States,Southwest
2220,"Report 2220: Two campers report seeing tall creature at Rood Park campground and boat landing by the Chattahoochee River, just south of Florence Marina",Class A,2000-08-30T12:00:00Z,2000,2000,August,Summer,32.0538,-85.0409,GA,United States,Southeast
8547,Report 8547: Hog hunter watches bigfoot kill hog in Sabine River bottoms.,Class A,2004-04-11T12:00:00Z,2004,2004,April,Spring,32.05806,-94.2,TX,United States,Southwest
35789,Report 35789: Possible wood knocks heard by a photographer near Quitman,Class B,2010-10-21T12:00:00Z,2010,2010,October,Fall,32.09515,-88.68893,MS,United States,Southeast
4139,Report 4139: Hunting party loses bagged deer to unknown predator.,Class B,1992-11-25T12:00:00Z,1992,1992,November,Fall,32.1,-94.20695,TX,United States,Southwest
18361,Report 18361: A group of four-wheelers experience a barrage of rocks and limbs on a late-night ride near Meldrim,Class B,2007-03-24T12:00:00Z,2007,2007,March,Spring,32.13781,-81.34159,GA,United States,Southeast
1063,"Report 1063: Coon hunters observe large, hairy ""monkey"" in pin oak",Class A,2003-10-22T12:00:00Z,2003,2003,October,Fall,32.13972,-95.32,TX,United States,Southwest
55412,Report 55412: Memory told of spying something large and hairy overturning rocks by the Brazos River,Class B,1986-11-01T12:00:00Z,1986,1986,November,Fall,32.15,-97.52499,TX,United States,Southwest
1527,Report 1527: A sighting by two hunters,Class A,1979-08-25T12:00:00Z,1979,1979,August,Summer,32.15,-97.5,TX,United States,Southwest
9924,Report 9924: Mother and son have night time encounter on county road.,Class A,2004-12-03T12:00:00Z,2004,2004,December,Winter,32.16139,-95.6,TX,United States,Southwest
7534,Report 7534: Sighting on Brazos River near Lake Whitney,Class A,2003-12-10T12:00:00Z,2003,2003,December,Winter,32.17194,-97.54944,TX,United States,Southwest
12290,Report 12290: Motorists have early morning sighting near Enterprise,Class A,2004-06-15T12:00:00Z,2004,2004,June,Summer,32.1806,-88.864,MS,United States,Southeast
9436,Report 9436: Teenagers have night time sighting on Blackhawk Creek near Whitehouse.,Class A,2004-10-03T12:00:00Z,2004,2004,October,Fall,32.18333,-95.21667,TX,United States,Southwest
24646,Report 24646: Early morning sighting by a fisherman south of Montgomery,Class A,2001-04-13T12:00:00Z,2001,2001,April,Spring,32.184,-86.581,AL,United States,Southeast
29092,Report 29092: Two afternoon sightings by father & son while driving near Tyler,Class A,2011-04-03T12:00:00Z,2011,2011,April,Spring,32.19202,-95.35257,TX,United States,Southwest
9385,Report 9385: Former Special Forces soldier has late night sighting through window not far from Colorado River,Class A,2004-10-03T12:00:00Z,2004,2004,October,Fall,32.24083,-101.3903,TX,United States,Southwest
31912,Report 31912: Childhood sighting recalled near Whitehouse,Class A,1972-07-15T12:00:00Z,1972,1972,July,Summer,32.24271,-95.12872,TX,United States,Southwest
32435,Report 32435: Memories told of activity over several years at a family home near Oglethorpe,Class A,1978-06-07T12:00:00Z,1978,1978,June,Summer,32.2462,-84.08932,GA,United States,Southeast
2396,Report 2396: Tall creature seen by witness,Class B,1964-06-30T12:00:00Z,1964,1964,June,Summer,32.26889,-96.69583,TX,United States,Southwest
4681,"Report 4681: Nighttime sighting by teens, near Meridian",Class A,1975-08-14T12:00:00Z,1975,1975,August,Summer,32.2714,-88.7496,MS,United States,Southeast
6007,Report 6007: Young boy has encounter with young bigfoot on front porch at grandparents' house,Class A,2003-10-08T12:00:00Z,2003,2003,October,Fall,32.27444,-94.965,TX,United States,Southwest
7671,"Report 7671: Nurse has roadside encounter with ""very large, dark figure.""",Class B,2003-12-30T12:00:00Z,2003,2003,December,Winter,32.28944,-94.86833,TX,United States,Southwest
24916,Report 24916: Witness hears big exhale and finds clear footprint the next day on property near Bluffton,Class B,2007-05-30T12:00:00Z,2007,2007,May,Spring,32.29968,-80.95958,SC,United States,Southeast
14082,Report 14082: Daylight road crossing sighting near Orrville,Class A,2006-09-10T12:00:00Z,2006,2006,September,Fall,32.30673,-87.24547,AL,United States,Southeast
56752,Report 56752: Man recalls hitting and killing a strange creature with his car near Cochran,Class A,1986-06-11T12:00:00Z,1986,1986,June,Summer,32.30676,-83.16122,GA,United States,Southeast
13347,Report 13347: Possible daylight sighting by boy near Meridian,Class B,1981-08-15T12:00:00Z,1981,1981,August,Summer,32.31255,-88.65135,MS,United States,Southeast
179,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",Class A,1981-09-15T12:00:00Z,1981,1981,September,Fall,32.31435,-85.16235,AL,United States,Southeast
57712,Report 57712: Motorist has night time visual of an individual carrying a deer near the town of Edom,Class A,2015-10-30T12:00:00Z,2015,2015,October,Fall,32.31565,-95.48672,TX,United States,Southwest
7670,Report 7670: Duck hunter has encounter on Lake Cherokee.,Class A,2003-12-30T12:00:00Z,2003,2003,December,Winter,32.33528,-94.7375,TX,United States,Southwest
1342,"Report 1342: Child sees a large, dark face staring at him from the bushes.",Class A,1977-04-30T12:00:00Z,1977,1977,April,Spring,32.3372,-88.74805,MS,United States,Southeast
7575,Report 7575: Military man and wife experience loud howling and shaking of mobile home near the Ohoopee River,Class B,1982-11-23T12:00:00Z,1982,1982,November,Fall,32.34705,-82.2464,GA,United States,Southeast
7546,Report 7546: Driver and child see a bigfoot on side of the road.,Class A,2003-12-12T12:00:00Z,2003,2003,December,Winter,32.35306,-94.90528,TX,United States,Southwest
27768,Report 27768: Memory shared of a daylight sighting while searching for bottles along a rural road outside Garrett,Class A,1972-07-15T12:00:00Z,1972,1972,July,Summer,32.36,-96.66,TX,United States,Southwest
56212,"Report 56212: Memory told of a scary, daytime encounter while frog hunting near Ranger",Class B,1977-09-30T12:00:00Z,1977,1977,September,Fall,32.375,-98.68,GA,United States,Southeast
27564,Report 27564: Man recalls his nighttime sighting through a kitchen window near Ennis,Class A,1988-04-15T12:00:00Z,1988,1988,April,Spring,32.375,-96.63,TX,United States,Southwest
8454,Report 8454: Multiple witness sighting on Hwy. 16 near the Emanuel/Candler county line,Class A,2004-04-01T12:00:00Z,2004,2004,April,Spring,32.38575,-82.24886,GA,United States,Southeast
49544,Report 49544: Man and wife recall possible daytime sighting while fishing the Ohoopee River,Class B,1986-09-12T12:00:00Z,1986,1986,September,Fall,32.39858,-82.30919,GA,United States,Southeast
27012,Report 27012: Witnesses tell of a sighting they had as teenagers outside Jackson - w/sketch by artist,Class A,1979-10-10T12:00:00Z,1979,1979,October,Fall,32.40191,-90.19371,MS,United States,Southeast
2398,"Report 2398: Sighting by a fisherman at night near Kilgore, and separate nighttime sighting by a family in a mobilehome",Class B,1978-06-30T12:00:00Z,1978,1978,June,Summer,32.4125,-94.81806,TX,United States,Southwest
1516,"Report 1516: Unknown animal with loud scream visits lake front home, frightens dog; something heavy is heard walking in the water",Class B,1979-06-15T12:00:00Z,1979,1979,June,Summer,32.4197,-93.4386,LA,United States,Southeast
44485,Report 44485: Memory told of a possible daylight sighting as a child on Mount Graham,Class B,1979-06-15T12:00:00Z,1979,1979,June,Summer,32.42445,-109.5601,AZ,United States,Southwest
17455,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,Class A,2007-05-19T12:00:00Z,2007,2007,May,Spring,32.43,-85.705,AL,United States,Southeast
1783,Report 1783: Night hunters hear strange screams in the woods,Class B,1985-08-15T12:00:00Z,1985,1985,August,Summer,32.4456,-86.5653,AL,United States,Southeast
23882,Report 23882: Woman recounts incident involving her father near town of Doyline on Lake Bistinue,Class B,1976-07-14T12:00:00Z,1976,1976,July,Summer,32.45763,-93.36627,LA,United States,Southeast
30841,Report 30841: Possible midnight encounter in Thorp Springs RV Park,Class B,2011-10-19T12:00:00Z,2011,2011,October,Fall,32.475,-97.815,TX,United States,Southwest
42939,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Class A,2013-10-15T12:00:00Z,2013,2013,October,Fall,32.48322,-86.37698,AL,United States,Southeast
7802,Report 7802: Teenager hears vocalization at night and has possible sighting not far from Sabine River.,Class B,2004-10-03T12:00:00Z,2004,2004,October,Fall,32.51556,-95.41817,TX,United States,Southwest
9038,"Report 9038: While hunting in Sabine River bottoms, two boys have daytime encounter",Class A,2004-08-16T12:00:00Z,2004,2004,August,Summer,32.51667,-94.9,TX,United States,Southwest
2395,Report 2395: Sighting at night by a group of coon hunters; Screams were also heard in the area,Class B,1938-06-30T12:00:00Z,1938,1938,June,Summer,32.5175,-96.80417,TX,United States,Southwest
7552,Report 7552: Man has early morning encounter with unidentified creature,Class B,2003-12-12T12:00:00Z,2003,2003,December,Winter,32.53333,-98.05,TX,United States,Southwest
4994,Report 4994: Two boys have afternoon sighting out behind family land in Sabine River Basin.,Class A,2004-08-30T12:00:00Z,2004,2004,August,Summer,32.57306,-95.80556,TX,United States,Southwest
69052,Report 69052: Motoristsâ€™ sighting at night 8 miles north of Statesboro,Class A,2019-12-20T12:00:00Z,2019,2019,December,Winter,32.5754,-81.78378,GA,United States,Southeast
2159,Report 2159: Sighting by a man on horseback of two large creatures near Gladewater,Class A,1976-10-01T12:00:00Z,1976,1976,October,Fall,32.58125,-94.86958,TX,United States,Southwest
8117,Report 8117: Deer hunter has encounter with bigfoot carrying deer hind quarter,Class A,2004-02-28T12:00:00Z,2004,2004,February,Winter,32.58333,-94.15,TX,United States,Southwest
7427,Report 7427: Four youths have harrowing experience in Alabama backwoods.,Class A,2003-11-26T12:00:00Z,2003,2003,November,Fall,32.6218,-85.4258,AL,United States,Southeast
8107,Report 8107: Ongoing encounters with a bigfoot on family property at Caddo Lake,Class A,2004-02-27T12:00:00Z,2004,2004,February,Winter,32.62194,-94.2,TX,United States,Southwest
8108,Report 8108: Driver sees a bigfoot cross the road near Harleton,Class A,2004-02-27T12:00:00Z,2004,2004,February,Winter,32.62389,-94.52,TX,United States,Southwest
66081,Report 66081: Night time road crossing sighting four miles south of Weatherford,Class A,2019-06-13T12:00:00Z,2019,2019,June,Summer,32.64,-97.84,TX,United States,Southwest
11549,"Report 11549: Possible vocalizations heard by campers at Riggs Lake, Coronado National Forest near Mt Graham",Class B,1997-06-10T12:00:00Z,1997,1997,June,Summer,32.65,-110.175,AZ,United States,Southwest
8116,"Report 8116: People see large, hairy animal near road",Class B,2004-02-28T12:00:00Z,2004,2004,February,Winter,32.65,-94.37361,TX,United States,Southwest
67199,Report 67199: Daylight sighting on the Brazos River west of Weatherford,Class A,2020-10-23T12:00:00Z,2020,2020,October,Fall,32.66908,-98.03284,TX,United States,Southwest
30238,Report 30238: Worker has late night encounter at gas well near Aledo,Class A,2011-06-30T12:00:00Z,2011,2011,June,Summer,32.675,-97.61,TX,United States,Southwest
30504,Report 30504: Gas field trucker has encounter at well head near Aledo,Class A,2011-08-27T12:00:00Z,2011,2011,August,Summer,32.675,-97.61,TX,United States,Southwest
57411,Report 57411: Grande Prairie resident has possible sighting at sundown from backyard,Class B,2016-04-02T12:00:00Z,2016,2016,April,Spring,32.675,-97.025,TX,United States,Southwest
18376,Report 18376: Couple reports possible stalking near abandoned rural graveyard outside town of Valley,Class B,2007-01-30T12:00:00Z,2007,2007,January,Winter,32.67715,-85.21545,AL,United States,Southeast
2399,"Report 2399: Human-like ""animal"" seen by family while target shooting near an open pasture.",Class A,1979-04-15T12:00:00Z,1979,1979,April,Spring,32.68,-94.3,TX,United States,Southwest
18033,Report 18033: Possible stalking of couple parked at power line cut outside Opelika,Class B,2002-05-30T12:00:00Z,2002,2002,May,Spring,32.6825,-85.2222,AL,United States,Southeast
7505,Report 7505: Woman sees creature by dog kennels in area close to Lake O' the Pines.,Class A,2003-11-29T12:00:00Z,2003,2003,November,Fall,32.68945,-94.59222,TX,United States,Southwest
8376,Report 8376: Hog hunter encounters unknown animal near Sabine River.,Class A,2004-03-25T12:00:00Z,2004,2004,March,Spring,32.69028,-95.61056,TX,United States,Southwest
400,Report 400: Woman remembers encounter not far from Brazos River.,Class A,2003-10-17T12:00:00Z,2003,2003,October,Fall,32.7,-98.03333,TX,United States,Southwest
41350,Report 41350: Campers on Mount Graham experience possible intimidation behavior,Class B,2013-05-26T12:00:00Z,2013,2013,May,Spring,32.70631,-109.9134,AZ,United States,Southwest
24886,Report 24886: Former US marine and friends describe possible intimidation behavior while camping on Mt. Graham,Class B,2008-09-13T12:00:00Z,2008,2008,September,Fall,32.7071,-109.9643,AZ,United States,Southwest
41447,Report 41447: Campers on Mount Graham are frightened by late-night visitor,Class B,2013-06-16T12:00:00Z,2013,2013,June,Summer,32.70722,-109.9648,AZ,United States,Southwest
2779,Report 2779: A Local Writer Discusses Her Experiences Pursuing Local Reports and Legends,Class C,1981-02-15T12:00:00Z,1981,1981,February,Winter,32.71528,-117.1564,CA,United States,West
43553,Report 43553: Teenage girl startles a gorilla-like animal while walking home in the dark north of Swainsboro,Class B,2006-09-25T12:00:00Z,2006,2006,September,Fall,32.74985,-82.24796,GA,United States,Southeast
51180,Report 51180: Man recalls strange occurrences as a youngster in Weatherford,Class B,1976-11-30T12:00:00Z,1976,1976,November,Fall,32.75,-97.75,TX,United States,Southwest
39137,Report 39137: Hunter flushes large creature when retrieving rabbit near city of Mineral Wells,Class B,2010-10-15T12:00:00Z,2010,2010,October,Fall,32.755,-98,TX,United States,Southwest
26886,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,Class A,2000-05-13T12:00:00Z,2000,2000,May,Spring,32.76967,-86.4891,AL,United States,Southeast
1313,Report 1313:  creature walked directly towards witness.,Class A,1987-11-15T12:00:00Z,1987,1987,November,Fall,32.7817,-93.9467,LA,United States,Southeast
9810,"Report 9810: While parking near Sunshine Lake, teens have late night encounter",Class A,2004-11-20T12:00:00Z,2004,2004,November,Fall,32.78611,-97.83334,TX,United States,Southwest
70712,Report 70712: Possible sighting by motorist in daylight between Lake O' the Pines and Ore City,Class B,2021-09-22T12:00:00Z,2021,2021,September,Fall,32.79338,-94.69412,TX,United States,Southwest
2048,Report 2048: Night time road crossing observation,Class A,1996-12-22T12:00:00Z,1996,1996,December,Winter,32.7943,-95.5425,TX,United States,Southwest
8067,Report 8067: Deer hunter encounters bigfoot at Caddo Lake near Karnack,Class A,2004-02-22T12:00:00Z,2004,2004,February,Winter,32.8,-94.16666,TX,United States,Southwest
1501,"Report 1501: Two witnesses see a large, black creature while loading firewood on a truck",Class A,1977-11-15T12:00:00Z,1977,1977,November,Fall,32.8057,-92.40895,LA,United States,Southeast
9001,Report 9001: Possible howls heard near Thomaston,Class B,2004-07-15T12:00:00Z,2004,2004,July,Summer,32.80865,-84.25755,GA,United States,Southeast
36070,"Report 36070: Possible knocks and chatter at Burnt Rancherias Campground, Laguna Mountain",Class B,2012-07-22T12:00:00Z,2012,2012,July,Summer,32.81075,-116.4208,CA,United States,West
17448,Report 17448: A close range road crossing on a foggy morning near Safford,Class A,2007-01-22T12:00:00Z,2007,2007,January,Winter,32.815,-109.675,AZ,United States,Southwest
19666,Report 19666: Hunter hears very loud scream at short range near Brazos River,Class B,2008-01-10T12:00:00Z,2008,2008,January,Winter,32.817,-98.34489,TX,United States,Southwest
20523,Report 20523: Possible whoops and knocks heard by relic hunter in the Ace Basin National Estuarine Research Reserve,Class B,2007-07-21T12:00:00Z,2007,2007,July,Summer,32.825,-80.559,SC,United States,Southeast
14376,Report 14376: Encounter during a summer camp campout near the Brazos River,Class A,1969-07-20T12:00:00Z,1969,1969,July,Summer,32.8269,-98.3298,TX,United States,Southwest
8861,Report 8861: Boy scouts have possible encounter near Possum Kingdom Lake,Class B,2004-10-31T12:00:00Z,2004,2004,October,Fall,32.83333,-98.38333,TX,United States,Southwest
35721,Report 35721: Recollection of hearing frightening vocalizations in the Fort Worth Nature Center,Class B,1976-12-23T12:00:00Z,1976,1976,December,Winter,32.84,-97.445,TX,United States,Southwest
63193,Report 63193: Brazos River campers encounter powerful vocalizations at close range.,Class B,1977-06-15T12:00:00Z,1977,1977,June,Summer,32.85,-98.375,TX,United States,Southwest
14638,"Report 14638: Woman describes husband's daytime sighting on ranch near Quitman, TX.",Class A,2006-02-01T12:00:00Z,2006,2006,February,Winter,32.85232,-95.46671,TX,United States,Southwest
27888,Report 27888: Man recalls close encounter at dusk as a youth near Macon,Class A,1957-07-15T12:00:00Z,1957,1957,July,Summer,32.86288,-83.55708,GA,United States,Southeast
23227,Report 23227: Daylight sighting by squirrel hunter outside Sarepta,Class A,1971-11-12T12:00:00Z,1971,1971,November,Fall,32.895,-93.45,LA,United States,Southeast
8289,Report 8289: Tracks found and other encounters in area near Lake o' the Pines.,Class B,2004-03-01T12:00:00Z,2004,2004,March,Spring,32.9,-94.6,TX,United States,Southwest
10623,Report 10623: Hog hunter hears possible vocalizations in the late afternoon near Erhardt,Class B,2005-02-11T12:00:00Z,2005,2005,February,Winter,32.9032,-80.65645,SC,United States,Southeast
44487,Report 44487: Memory told of a close dalylight observation outside Alexander City,Class A,2014-03-30T12:00:00Z,2014,2014,March,Spring,32.91874,-85.9793,AL,United States,Southeast
7632,Report 7632: Bigfoots observed demonstrating intimidation behavior near Lake Tawakoni,Class A,2003-12-24T12:00:00Z,2003,2003,December,Winter,32.94722,-96.10222,TX,United States,Southwest
42364,Report 42364: Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback,Class A,1992-08-15T12:00:00Z,1992,1992,August,Summer,32.95,-112.73,AZ,United States,Southwest
30135,Report 30135: Man recalls encounter with 7 foot tall creature on grandparents farm,Class A,1960-11-04T12:00:00Z,1960,1960,November,Fall,32.96854,-85.02602,GA,United States,Southeast
12205,Report 12205: Late night sighting by motorists near GA/SC border,Class A,2005-11-25T12:00:00Z,2005,2005,November,Fall,32.98597,-81.61264,SC,United States,Southeast
8921,Report 8921: Possible daylight sighting near freeway outside Birmingham,Class B,2006-06-03T12:00:00Z,2006,2006,June,Summer,33.00014,-86.00004,AL,United States,Southeast
13673,"Report 13673: Various incidents around home with women and children only, near Summerville",Class A,1970-06-24T12:00:00Z,1970,1970,June,Summer,33.007,-80.156,SC,United States,Southeast
67313,Report 67313: Fisherman and his mom have a close encounter 4 miles west of Linden,Class A,2000-10-01T12:00:00Z,2000,2000,October,Fall,33.01,-94.44,TX,United States,Southwest
9879,Report 9879: Two sisters have late-night sighting through bedroom window,Class A,2004-11-27T12:00:00Z,2004,2004,November,Fall,33.03333,-94.72334,TX,United States,Southwest
63560,Report 63560: Whoops and knocks at campground near Julian,Class B,2019-10-20T12:00:00Z,2019,2019,October,Fall,33.03662,-116.5645,CA,United States,West
58855,Report 58855: Suburban Flower Mound resident startled by possible wood knocks close to home in early morning,Class B,2017-12-20T12:00:00Z,2017,2017,December,Winter,33.04,-97.18,TX,United States,Southwest
25915,"Report 25915: Motorist describes possible daylight morning sight near Edisto River, between Canady and Givehans",Class B,2009-05-02T12:00:00Z,2009,2009,May,Spring,33.04536,-80.45451,SC,United States,Southeast
30570,Report 30570: Recollection of being driven from woods by possible vocalizations while squirrel hunting near Dangerfield,Class B,1998-10-15T12:00:00Z,1998,1998,October,Fall,33.05685,-94.52925,TX,United States,Southwest
9137,Report 9137: Route driver has early morning road encounter near Atlanta,Class A,2004-08-10T12:00:00Z,2004,2004,August,Summer,33.07639,-94.25694,TX,United States,Southwest
47523,Report 47523: Hunter north of Macon hears two large animals as he dresses his deer,Class B,2013-11-05T12:00:00Z,2013,2013,November,Fall,33.09184,-83.69681,GA,United States,Southeast
71700,Report 71700: Trucker's daylight sighting of a Sasquatch in Francis Marion National Forest,Class A,2021-03-15T12:00:00Z,2021,2021,March,Spring,33.0932,-79.8102,SC,United States,Southeast
17306,Report 17306: Early morning sighting by paper carrier in rural Ridgeville,Class A,2007-01-14T12:00:00Z,2007,2007,January,Winter,33.096,-80.316,SC,United States,Southeast
11389,Report 11389: Young man tells of childhood experiences.,Class A,2005-04-21T12:00:00Z,2005,2005,April,Spring,33.09625,-94.32139,TX,United States,Southwest
21714,Report 21714: Rescue workers describes possible stalking on the Cahaba River outside Montevallo,Class B,2007-09-12T12:00:00Z,2007,2007,September,Fall,33.1,-86.86,AL,United States,Southeast
4096,Report 4096: Sighting by truck driver near Felsenthal Wildlife Refuge,Class C,1980-01-01T12:00:00Z,1980,1980,January,Winter,33.1075,-92.33472,AR,United States,Southeast
1339,Report 1339: Creature seen by witnesses,Class A,1950-01-01T12:00:00Z,1950,1950,January,Winter,33.10925,-89.59135,MS,United States,Southeast
42692,Report 42692: Daytime road crossing seen near Ashland,Class B,2013-11-10T12:00:00Z,2013,2013,November,Fall,33.12572,-85.49103,AL,United States,Southeast
5954,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,Class A,2007-09-01T12:00:00Z,2007,2007,September,Fall,33.13,-88.14999,AL,United States,Southeast
832,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",Class A,1980-11-15T12:00:00Z,1980,1980,November,Fall,33.13195,-88.17885,AL,United States,Southeast
16734,Report 16734: Possible road crossing sighting in the Francis Marion National  Forest,Class B,2004-10-20T12:00:00Z,2004,2004,October,Fall,33.132,-79.884,SC,United States,Southeast
6941,Report 6941: Man has encounter at close range for several minutes.,Class A,2003-10-21T12:00:00Z,2003,2003,October,Fall,33.13333,-98.35,TX,United States,Southwest
10913,Report 10913: Squirrel Hunter has encounter south of El Dorado,Class A,2002-11-05T12:00:00Z,2002,2002,November,Fall,33.14663,-92.61493,AR,United States,Southeast
26100,Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River,Class A,1996-11-15T12:00:00Z,1996,1996,November,Fall,33.14759,-93.89135,AR,United States,Southeast
10114,Report 10114: A few witnesses see something reach through an open window in Mescalero N.M.,Class A,2004-07-26T12:00:00Z,2004,2004,July,Summer,33.15405,-105.7947,NM,United States,Southwest
4158,"Report 4158: Brothers encounter a large, very well-built, man-like creature",Class A,1988-10-15T12:00:00Z,1988,1988,October,Fall,33.16972,-99.18778,TX,United States,Southwest
46641,Report 46641: Possible activity at a home outside Queen City,Class B,2014-10-23T12:00:00Z,2014,2014,October,Fall,33.17162,-94.14799,TX,United States,Southwest
1633,"Report 1633: Four friends camped in the woods observe bi-pedal creature moving similar to the way a man would move, not bear-like.",Class B,1997-07-15T12:00:00Z,1997,1997,July,Summer,33.18528,-94.25556,TX,United States,Southwest
7971,Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.,Class A,2004-02-19T12:00:00Z,2004,2004,February,Winter,33.18639,-93.9475,AR,United States,Southeast
7664,Report 7664: Road cross encounter on Hwy 50 in Sulphur River bottoms,Class A,2003-12-29T12:00:00Z,2003,2003,December,Winter,33.19944,-96.00306,TX,United States,Southwest
49309,Report 49309: Possible nighttime activity during a hog hunt on a ranch near Bryson,Class B,2015-07-13T12:00:00Z,2015,2015,July,Summer,33.2,-98.4,TX,United States,Southwest
65366,Report 65366: Woman home alone north of Greenville claims unusual nightly visitor,Class B,2020-04-18T12:00:00Z,2020,2020,April,Spring,33.2,-96.17,TX,United States,Southwest
35339,Report 35339: Unexplained happenings on a farm outside Tuscaloosa,Class B,2012-03-15T12:00:00Z,2012,2012,March,Spring,33.20837,-87.28992,AL,United States,Southeast
58136,Report 58136: Six witnesses in three cars see a sasquatch in Big Piney Woods,Class A,1982-02-06T12:00:00Z,1982,1982,February,Winter,33.211,-94.0765,TX,United States,Southwest
6938,Report 6938: Tracks and feces found in freshly turned field,Class A,2003-08-30T12:00:00Z,2003,2003,August,Summer,33.21145,-87.35664,AL,United States,Southeast
45498,Report 45498: Strange occurrences are ongoing at a rural home outside Talladega,Class B,2014-07-27T12:00:00Z,2014,2014,July,Summer,33.24084,-85.7894,AL,United States,Southeast
18632,Report 18632: Woman describes childhood sighting (multi-witness) on abondonned RR bed outside Barnwell,Class A,1978-06-08T12:00:00Z,1978,1978,June,Summer,33.245,-81.359,SC,United States,Southeast
638,Report 638: Series of encounters with bigfoot in close proximity to Sulphur River,Class B,2003-12-15T12:00:00Z,2003,2003,December,Winter,33.24722,-95.77,TX,United States,Southwest
58557,Report 58557: Dad and son take interesting photo after hearing possible wood knock and whistle while hiking near Denton,Class B,2017-11-25T12:00:00Z,2017,2017,November,Fall,33.25,-97.05,TX,United States,Southwest
47499,"Report 47499: Strange encounters over the years, including odd coyote kills, near Commerce",Class B,2015-01-02T12:00:00Z,2015,2015,January,Winter,33.25,-95.84,TX,United States,Southwest
10126,Report 10126: Possible night time sighting by a resident in the Carrizo neighborhood of Mescalero IR,Class B,2004-06-02T12:00:00Z,2004,2004,June,Summer,33.2516,-105.7197,NM,United States,Southwest
7031,Report 7031: Lady sees large hairy creature on the side of the road,Class A,2003-06-28T12:00:00Z,2003,2003,June,Summer,33.26035,-87.31821,AL,United States,Southeast
7568,Report 7568: US Air Force retiree encounters bigfoot in Sulphur River bottoms near Cooper Lake,Class A,2003-12-16T12:00:00Z,2003,2003,December,Winter,33.26222,-95.82056,TX,United States,Southwest
11632,Report 11632: 4' - 5.5' upright animal seen crossing dead-end road.,Class A,2005-05-07T12:00:00Z,2005,2005,May,Spring,33.26462,-92.64066,AR,United States,Southeast
